音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Flash に送信中...
処理時間: 131.8秒

===== 文字起こし結果 =====
おさき（女性）: [17:50] そう。で、私は妹の面倒、みたいな。もうママも、やっぱ弟がオーディションとか受かると喜ぶじゃないですか。で、私もほんと悔しいし、もうママのこと喜ばせたいな、とか思ってたんですけど。その経験があって、なんかちょっと抵抗感あるっていうか、今。
みみこ（女性）: [18:06] うん。
おさき（女性）: [18:07] だから演技、みんなに「絶対向いてるよ」ってやっぱ言われるんですけど、なんかなんかめっちゃ苦手意識あって、挑戦できないっていうのがめちゃめちゃあって。
みみこ（女性）: [18:16] うんうんうんうん。
みみこ（女性）: [18:17] 私は逆に今だからこそ、そのさっき言った細かい洞察力、役になりきる、とか。
おさき（女性）: [18:23] うん。
みみこ（女性）: [18:24] わかんないけど、難易度が高いとしたらさ、なんかこう、精神的にこういっちゃってる、例えば殺人犯とかをやるとするじゃん。でもそうするとこの殺人犯の人がどうしてこうなっていったのかとかさ、どういう風な生い立ちになってこうなっちゃったんか、とか。
おさき（女性）: [18:30] はいはいはい。
ゆのん（女性）: [18:39] あー。
みみこ（女性）: [18:40] なんか、そういうのを考えたり、あの、ストーリー性を考えるの好きなはず。
おさき（女性）: [18:43] え、だってさ、映画見たら本読むとか言ってたじゃん。
みみこ（女性）: [18:45] あ、うん。
おさき（女性）: [18:46] なんか、もう詳しく知りたいから。
みみこ（女性）: [18:48] そうそうそう。
おさき（女性）: [18:49] その映画の元になってる人のこととか超調べるもん、私。
ゆのん（女性）: [18:52] え、そうなんですか。
ゆのん（女性）: [18:54] なんでじゃ。
ゆのん（女性）: [18:55] これさ、ゆのんとしか話してないじゃん。
みみこ（女性）: [18:57] そのお母さんの存在が大きいんだよな。
ゆのん（女性）: [19:01] うわー。
みみこ（女性）: [19:02] ああ、えっとね。
おさき（女性）: [19:03] どでかいです。
ゆのん（女性）: [19:04] どでかい。
おさき（女性）: [19:04] どでかい。
みみこ（女性）: [19:05] ちょっと。
みみこ（女性）: [19:06] この4番だよね。家庭とか自宅とか晩年、居場所のところに土星、プレッシャーとか試練とか課題なんだけど、お母さんの存在がずっと自分の中でこう大きいという。
ゆのん（女性）: [19:18] うんうん。
おさき（女性）: [19:19] いつもいる。
ゆのん（女性）: [19:20] いつもいる。
おさき（女性）: [19:20] いつもいる。
みみこ（女性）: [19:21] っていう感じになる。
おさき（女性）: [19:22] そう。
おさき（女性）: [19:23] お手本にしたいとか、目標にしたいとか、偉大、みたいな。
ゆのん（女性）: [19:27] それです。
おさき（女性）: [19:28] だから、どうしてもこう自分に目を向けてもらいたいとか。なんか、そういう感じになってくるんだよね。
ゆのん（女性）: [19:36] そうですね。
おさき（女性）: [19:36] うんうんうんうん。
おさき（女性）: [19:38] ママ何て言うだろう？とか思いながらいつも生活してます。
みみこ（女性）: [19:41] そうなんですよね。
ディレクター（男性）: [19:44] お母さん何やってる方なんですか？
おさき（女性）: [19:45] ママは、もうほんとずっと専業主婦でだったんですけど。もう子役ん時からもうママがサポートしてくれるし、ママが、私演技レッスンとか通ったことなくて、ママがなんかもうママ何も経験ないのに演技指導とか私にしてたり。
ゆのん（女性）: [20:00] へえー。
おさき（女性）: [20:02] 「誰に言ったことあんの？」って。
おさき（女性）: [20:04] でもマジでなんか怒られるの、なんか意味わかんないな、とか思いながらいたんですけど、確かにママの言ってることって全部正しいな、って思っちゃって。だから、もうもし迷ったりしたら全部ママに聞くんですよ。
みみこ（女性）: [20:15] あと睡眠なんだよね。
おさき（女性）: [20:17] 睡眠。
みみこ（女性）: [20:19] さきちゃんの場合は周波数ちょっと敏感です。本当は寝る前は電波を一切遮断した方がいい。
おさき（女性）: [20:26] へえー。
みみこ（女性）: [20:27] だから寝ながらスマホは本当は封印。
おさき（女性）: [20:30] へえー。
ゆのん（女性）: [20:31] へえー。
おさき（女性）: [20:32] そうなんですか。
みみこ（女性）: [20:33] そうなんです。
おさき（女性）: [20:35] 分かってたんですけどね。
みみこ（女性）: [20:36] ああ。
おさき（女性）: [20:38] 私、本当に寝れなくて。
みみこ（女性）: [20:42] 寝てるようで寝てない。
おさき（女性）: [20:43] いや、ほんとにそう。そうそうそうそう。
みみこ（女性）: [20:45] そういうこと。
おさき（女性）: [20:46] 足音とかで起きちゃうし。
みみこ（女性）: [20:47] そうそうそう。
おさき（女性）: [20:48] ドア開けた音で起きちゃう。
みみこ（女性）: [20:50] もう寝る前に、もうスマホは今日なしって言って、電源切って。
おさき（女性）: [20:54] 電源切る。
みみこ（女性）: [20:54] 電源切るっていうか、まあ、どっか違うところに置いて、目覚ましとかかけ。
おさき（女性）: [20:58] え、でも何してればいいんですか、私。
ディレクター（男性）: [20:59] 寝るんだよ。
ゆのん（女性）: [21:01] 寝るんだよ。
おさき（女性）: [21:03] 寝るんだよ。
ゆのん（女性）: [21:05] 寝ればいいんだ。
ディレクター（男性）: [21:06] そうだよ。
ナレーター（女性）: [21:10] 番組に登場する占いがスマホで体験できる。
ナレーター（女性）: [21:14] 運命や過去、現在、未来を的中させまくりで話題の星ひとみさんや、木下レオンさん、みみこさん、大串ノリ子さん、しゅまさんの占いも。
ナレーター（女性）: [21:25] 詳しくは概要欄をチェック。
みみこ（女性）: [21:33] ゆのんさんは人との相性とか、恋人パートナー、仕事相手のところにですね、冥王星、破壊と再生ビッグバンでしょ。金星でしょ。それから木星も入ってるという。
ゆのん（女性）: [21:42] あー。大丈夫？
みみこ（女性）: [21:46] 入ってるもの大丈夫？この星の特性上、とにかく好きになったら一直線。
ゆのん（女性）: [21:51] 来た。
ゆのん（女性）: [21:52] 来ました。
ゆのん（女性）: [21:54] 来ました、来ました。好きになったら一直線。中島ゆのんね。
みみこ（女性）: [21:56] もう脇目も振らない。もうとにかくその人にストレートに。
ゆのん（女性）: [22:00] すごいよ。
みみこ（女性）: [22:01] 好き好き好きって伝える。勝率高くなんかじゃないですか？今まで、自分が好きになった人で、お付き合いできない。
ゆのん（女性）: [22:06] 外したことないんじゃないかな。
みみこ（女性）: [22:07] 外したことないんじゃないかな。
ゆのん（女性）: [22:09] 外したことあんまないんじゃない？
おさき（女性）: [22:13] いや、なんかそうですね。あの。
みみこ（女性）: [22:14] もう狙った獲物は逃さない。
ゆのん（女性）: [22:17] うわー。
おさき（女性）: [22:18] マジでゆのんはすごいですよ。
みみこ（女性）: [22:20] 外さないのよ。
ゆのん（女性）: [22:22] 諦めを知らないね。
みみこ（女性）: [22:24] 諦めを知らないね。
みみこ（女性）: [22:29] あとね、とにかく信頼第一なの、相手に対して。だからもう当然浮気も絶対NGだし、信頼崩されたらもうアウト。
ゆのん（女性）: [22:39] マジでそう。
ゆのん（女性）: [22:40] 信じとる相手にちょっとでもなんか、ちょっと嘘でもつかれたら、はあー、もう悲しいって。
みみこ（女性）: [22:46] ああ、もう終わりですね。
ゆのん（女性）: [22:48] ありがとうございまーす。
ディレクター（男性）: [22:50] 例えば何ですか？
ゆのん（女性）: [22:51] もうちょっとの嘘ですよね、なんか。男の人たちと飲んでました、みたいな。ご飯行ってました、男の人たちと。って言っとったのに、実は女の人一人おった、とか。そのしょーもない嘘なん？なんで？みたいな。言ったらいいのに、なんでそこで言った？とか。
おさき（女性）: [23:03] はいはいはいはいはい。
みみこ（女性）: [23:08] だからそうなんだよね。その、まさに冥王星なんだけどさ、その、格納しておくんです。色々証拠。それで、もうバーンって爆発した時に全部それぶつけるっていう。
ゆのん（女性）: [23:24] 全部貯めて貯めて。
みみこ（女性）: [23:26] 貯めて貯めて貯めて。
おさき（女性）: [23:26] 確かに。
ゆのん（女性）: [23:27] めっちゃ言うかも、最後に。
みみこ（女性）: [23:28] そう。
ゆのん（女性）: [23:28] もうどうにでもなれってなった時に言う。
みみこ（女性）: [23:31] 離れる覚悟できてきた時に全部バーンって言って終わる。
ゆのん（女性）: [23:34] うわー。
みみこ（女性）: [23:34] これがもう破壊なんですよ。
ゆのん（女性）: [23:35] 破壊だわ。
みみこ（女性）: [23:37] 大体こう貯めてるから。
おさき（女性）: [23:38] そうなんだ。
みみこ（女性）: [23:39] 貯めて貯めて。
ゆのん（女性）: [23:41] うわー。
おさき（女性）: [23:43] ね、確かに。
ゆのん（女性）: [23:44] 確かに。
おさき（女性）: [23:45] すごい。
ゆのん（女性）: [23:46] すごい。
みみこ（女性）: [23:46] あとこの星の特製上なんか、ホールドされることが大好きなんですよ。だからなんか、大きい、背が高い人とか、こうなんか細身の人で、あんまり筋肉質じゃない人、威圧感がない人がちょっと好きになりやすくて。
ゆのん（女性）: [24:02] へえー。
みみこ（女性）: [24:03] なんでかっていうとこうされたいんですよ。ホールドされたい。
ゆのん（女性）: [24:08] 抱きしめて。
ゆのん（女性）: [24:10] 包んで、包んで、みたいな。
みみこ（女性）: [24:12] ホールド感は弱い、はず。
ゆのん（女性）: [24:13] 大好き。
おさき（女性）: [24:14] 守られるの好き。
ゆのん（女性）: [24:16] なんちゃん、みたいな人。
おさき（女性）: [24:18] 確かに。
ゆのん（女性）: [24:19] なんちゃん、みたいな人が好き。
みみこ（女性）: [24:21] そうそうそうそう。これやられるとね、結構あの、ほれっぽくなっちゃう。
ゆのん（女性）: [24:25] やめてくださいよ。
おさき（女性）: [24:27] やばいじゃん。
みみこ（女性）: [24:28] これ一応聞いてて、2023年の3月16歳、高1ぐらいに結構大恋愛してます？
ゆのん（女性）: [24:37] してない。
ゆのん（女性）: [24:39] した。
おさき（女性）: [24:41] した。
みみこ（女性）: [24:47] なんで別れちゃった？
ゆのん（女性）: [24:49] なんか、ゆのんがめっちゃ頑張っとったし。家事とかもめっちゃやっとったし、でも喜んでほしくてやっとったけど、それがちょっとダメにさせてしまったかな、みたいな。でもすごい男気あって面白かったし、そういう人も自立しとったけ、やっぱバカなことばっかして楽しかったし、しょうもない遊びでもめっちゃ楽しかったけど、なんかちょっと違うかもな、って思っちゃって、最後の方に。
おさき（女性）: [24:53] うんうんうんうん。
みみこ（女性）: [25:16] ええと、一応年表で言うと、あの26歳頃に結婚の周期が入ってる。
ゆのん（女性）: [25:21] へえー。
おさき（女性）: [25:22] 26。
ゆのん（女性）: [25:23] へえー。
みみこ（女性）: [25:24] だから、ええと、2033年頃かな。
ゆのん（女性）: [25:27] へえー。
みみこ（女性）: [25:28] っていうのが入ってて、それまで仕事とか色々やりたいっていうんだったら色々やって、その辺あたりに結婚が最適。
ゆのん（女性）: [25:35] そうなんだ。
みみこ（女性）: [25:36] っていう感じになってます。
ゆのん（女性）: [25:37] はい。
みみこ（女性）: [25:38] うんうん。
みみこ（女性）: [25:38] で、今度はね、さきちゃんですね。
ゆのん（女性）: [25:39] はい。
みみこ（女性）: [25:40] こちらの方に。8番の方に冥王星入ってんすよ。じゃん。
ゆのん（女性）: [25:44] え？何これ？
みみこ（女性）: [25:45] これ温泉は、あの、結婚の部屋になるんですかね。財産、結婚、セックスと再生と言って、あの、このまま言います。あの、なかなか理想高いです。
ゆのん（女性）: [25:53] えー！
おさき（女性）: [25:56] そう！理想高いよね、さきちゃん。
みみこ（女性）: [25:59] それもかなりの剛道が好きです。
ゆのん（女性）: [26:01] そう。
おさき（女性）: [26:03] はい。
おさき（女性）: [26:04] そうなんですよ。
みみこ（女性）: [26:09] ま、イケメン、高青年、清潔感、それなりの筋肉、細マッチョ、誰にでも好かれて人間性もかなり見る。中身がしっかり伴ってないとダメ。
おさき（女性）: [26:18] うわー。
ゆのん（女性）: [26:21] うっそ。
おさき（女性）: [26:21] 人生ちょっと待って。
ゆのん（女性）: [26:22] やばくない？
おさき（女性）: [26:25] え、私本当にそう高いんですよ。
みみこ（女性）: [26:27] 高い。
おさき（女性）: [26:27] 一個でも私の理想に達してなかったらもうないかなってなっちゃう。
みみこ（女性）: [26:33] なっちゃうんですよ。
おさき（女性）: [26:34] そこもこだわり。
みみこ（女性）: [26:35] だから、そもそもなんですけど、めったにこう人をこう恋愛対象として見ないので。
おさき（女性）: [26:41] はい。
みみこ（女性）: [26:42] 恋愛の回数自体はちょっと少ない。
おさき（女性）: [26:45] めっちゃ少ないです。
みみこ（女性）: [26:46] 対象として見ないから。
おさき（女性）: [26:47] 好きな人いたこともあんまりないんですよ、私。
みみこ（女性）: [26:50] そう。
ゆのん（女性）: [26:50] うん。
みみこ（女性）: [26:51] それぞれの家族の価値観が違うと、うん、将来的に一緒にいてもいいのかなって不安になります。
ゆのん（女性）: [27:00] うわー。
おさき（女性）: [27:03] 一番そこ。
ディレクター（男性）: [27:05] そうだよね。
おさき（女性）: [27:05] 重要。
ディレクター（男性）: [27:06] そこが重要なんですよ。
おさき（女性）: [27:07] すごくない？
ゆのん（女性）: [27:08] え、ちょっと待って。
ディレクター（男性）: [27:09] え、ゆのん言ってないよね。
ゆのん（女性）: [27:10] 言ってない。
ディレクター（男性）: [27:11] 言ってない。
おさき（女性）: [27:12] そんなリーク。
ゆのん（女性）: [27:14] やばい。
ゆのん（女性）: [27:15] ゆのんはみみこ先生にリークしてました。
ゆのん（女性）: [27:18] え？
ディレクター（男性）: [27:19] ゆのんはリークしてないよね。
ゆのん（女性）: [27:20] してないよ。
ディレクター（男性）: [27:21] リークはされてないです。はい。
ゆのん（女性）: [27:23] 内通者じゃないでしょ。私は人狼じゃないです。
ディレクター（男性）: [27:26] 本当ですよ。
ゆのん（女性）: [27:27] 本当。
ゆのん（女性）: [27:28] ちょっと待って。
みみこ（女性）: [27:29] そうなんですよね。
ゆのん（女性）: [27:31] さきちゃんがなんか言っとるポイントマジでそこ。
おさき（女性）: [27:34] そこしか知らない。
みみこ（女性）: [27:34] そこしか知らないんですよ。
みみこ（女性）: [27:35] 自分の家族もそうなんだけど、相手の家族にもそれを求めるんですよ。だからお父さんとかお母さんに何かすごい、なんか冷たい言い方とかしてると嫌になってしまう。
おさき（女性）: [27:45] いや、そうです、そうです、本当にそう。
みみこ（女性）: [27:46] もっと、もっと大事にしてあげて、っていう風にすごい思うので。
おさき（女性）: [27:50] 相手のお母さんへの対応の仕方でちょっと見てる、見ちゃっていうのがあるかもしれない。
みみこ（女性）: [27:56] そうなんだよね。で、それは、あの、些細なことでは全然ないです。この星を見る限り大きなことなので。だからすり合わせが必要。私は実は大事にしてるから、そこをあなたも大事にして欲しいよ。っていうのをちゃんと今からすり合わせていく必要がある。
ゆのん（女性）: [28:02] へえー。
おさき（女性）: [28:09] なるほど。
みみこ（女性）: [28:12] 来年、あの。
ゆのん（女性）: [28:14] 来年？
みみこ（女性）: [28:15] 来年。
ゆのん（女性）: [28:16] え？
みみこ（女性）: [28:16] だからこれはもう27年はさすがに早すぎるみたいな感じだとするんだったら、28歳の頃かな？に適齢期がやってくる。
ゆのん（女性）: [28:26] え？
みみこ（女性）: [28:27] で、これ逃すと31とかになっちゃうから。だから28は結構大事な。
おさき（女性）: [28:32] え？
みみこ（女性）: [28:34] そうなんですよ。
おさき（女性）: [28:35] そうなんですか。
ゆのん（女性）: [28:36] 28か。
おさき（女性）: [28:37] 28か。
おさき（女性）: [28:38] やば。
ゆのん（女性）: [28:39] やばいね。
おさき（女性）: [28:39] え、どうしようさき、来年。
ゆのん（女性）: [28:41] うわー。
ゆのん（女性）: [28:44] みみこ先生来て貰おう。
おさき（女性）: [28:45] みみこ先生来てくれます？
みみこ（女性）: [28:47] 全然来てくれます。
ゆのん（女性）: [28:48] うわー。
ディレクター（男性）: [28:50] はい。
ゆのん（女性）: [28:51] はー。
ゆのん（女性）: [28:53] お疲れ様でした。
おさき（女性）: [28:54] お疲れ様でした。ありがとうございました。
みみこ（女性）: [28:57] ありがとうございました。
ゆのん（女性）: [28:58] え、もう当たりすぎてバレるかと思ったんですけど。
おさき（女性）: [29:01] 怖いです。
ゆのん（女性）: [29:02] え、なんで知ってんの？
おさき（女性）: [29:03] なんで分かった？
ゆのん（女性）: [29:05] ね、ゆのん誰にも言ってないんじゃけど。
おさき（女性）: [29:06] ほんとにそう。
おさき（女性）: [29:07] うちらはやっぱサソリ座だから誰にも言わないから。
ゆのん（女性）: [29:10] 言わないんですよ。
ディレクター（男性）: [29:11] いや、知ってるわけがないんですよ。
おさき（女性）: [29:12] なわけないんですよ。
ゆのん（女性）: [29:14] YouTubeでも話してないこと言われて。
ディレクター（男性）: [29:17] ああ、言われました。
ディレクター（男性）: [29:18] さきさんはね、占い初めてって。
おさき（女性）: [29:21] はい。
おさき（女性）: [29:22] 私占いちょっと信じちゃいました。
ゆのん（女性）: [29:25] あー。
おさき（女性）: [29:27] え、占いってすごいんだね。
ゆのん（女性）: [29:29] すごいよね。
おさき（女性）: [29:30] うん。
ゆのん（女性）: [29:31] 自信にもなるよね、自分の。
おさき（女性）: [29:32] 確かに。
おさき（女性）: [29:34] 気づけんかった。なんか決断とかにもつながるし。
おさき（女性）: [29:37] ちょっとこれから、ゆのんとスピ活しようかな。
ゆのん（女性）: [29:41] あー。
おさき（女性）: [29:42] スピ活。
ナレーター（女性）: [29:44] 仕事運に恋愛運、金運など。あなただけの開運日が一目瞭然。
ナレーター（女性）: [29:51] 番組に出演している占い師が毎日あなたの運勢や運のいい日を教えてくれます。
ナレーター（女性）: [29:58] さらに、2026年上半期の運勢も確認できます。
ナレーター（女性）: [30:03] 詳しくは番組ホームページ、SNSをチェック。
